1 11/16	UN 12	12	2,1167	1.6875	42,8625	1.6334	1,5973	1 11/16 - 12 UN 12
1 11/16	UN 16	16	1,5875	1.6875	42,8625	1.6469	1.6198	1 11/16 - 16 UN 16
1 11/16	UNEF	18	1,4111	1,6875	42,8625	1.6514	1.6274	1 11/16 - 18 UNEF
1 11/16	UN 20	20	1,2700	1.6875	42,8625	1.6550	1.6334	1 11/16 - 20 UN 20
1 3/4	UNC	5	5,0800	1.7500	44,4500	1.6201	1.5335	1 3/4 - 5 UNC
1 3/4	UN 6	6	4,2333	1.7500	44,4500	1.6417	1.5696	1 3/4 - 6 UN 6
1 3/4	UN 8	8	3,1750	1.7500	44,4500	1.6688	1.6147	1 3/4 - 8 UN 8
1 3/4	UN 12	12	2,1167	1.7500	44,4500	1.6959	1.6598	1 3/4 - 12 UN 12
1 3/4	UN 16	16	1,5875	1.7500	44,4500	1.7094	1.6823	1 3/4 - 16 UN 16
1 3/4	UN 20	20	1,2700	1.7500	44,4500	1.7175	1.6959	1 3/4 - 20 UN 20
1 13/16	UN 6	6	4,2333	1.8125	46,0375	1.7042	1.6321	1 13/16 - 6 UN 6
1 13/16	UN 8	8	3,1750	1.8125	46,0375	1.7313	1.6772	1 13/16 - 8 UN 8
1 13/16	UN 12	12	2,1167	1.8125	46,0375	1.7584	1.7223	1 13/16 - 12 UN 12
1 13/16	UN 16	16	1,5875	1.8125	46,0375	1.7719	1.7448	1 13/16 - 16 UN 16
1 13/16	UN 20	20	1,2700	1.8125	46,0375	1.7800	1.7584	1 13/16 - 20 UN 20
1 7/8	UN 6	6	4,2333	1.8750	47,6250	1.7667	1.6946	1 7/8 - 6 UN 6
1 7/8	UN 8	8	3,1750	1.8750	47,6250	1.7938	1.7397	1 7/8 - 8 UN 8
1 7/8	UN 12	12	2,1167	1.8750	47,6250	1.8209	1.7848	1 7/8 - 12 UN 12
1 7/8	UN 16	16	1,5875	1.8750	47,6250	1.8344	1.8073	1 7/8 - 16 UN 16
1 7/8	UN 20	20	1,2700	1.8750	47,6250	1.8425	1.8209	1 7/8 - 20 UN 20
2	UN 6	6	4,2333	2.0000	50,8000	1.8917	1.8196	2 - 6 UN 6
2	UN 8	8	3,1750	2.0000	50,8000	1.9188	1.8647	2 - 8 UN 8
2	UN 12	12	2,1167	2.0000	50,8000	1.9459	1.9098	2 - 12 UN 12
2	UN 16	16	1,5875	2.0000	50,8000	1.9594	1.9323	2 - 16 UN 16
2	UN 20	20	1,2700	2.0000	50,8000	1.9675	1.9459	2 - 20 UN 20
2 1/8	UN 6	6	4,2333	2.1250	53,9750	2.0167	1.9446	2 1/8 - 6 UN 6
2 1/8	UN 8	8	3,1750	2.1250	53,9750	2.0438	1.9897	2 1/8 - 8 UN 8
2 1/8	UN 12	12	2,1167	2.1250	53,9750	2.0709	2.0348	2 1/8 - 12 UN 12
2 1/8	UN 16	16	1,5875	2.1250	53,9750	2.0844	2.0573	2 1/8 - 16 UN 16
2 1/8	UN 20	20	1,2700	2.1250	53,9750	2.0925	2.0709	2 1/8 - 20 UN 20
2 1/4	UNC	4 1/2	5,6444	2.2500	57,1500	2.1057	2.0094	2 1/4 - 4 1/2 UNC
2 1/4	UN 6	6	4,2333	2.2500	57,1500	2.1417	2.0696	2 1/4 - 6 UN 6
2 1/4	UN 8	8	3,1750	2.2500	57,1500	2.1688	2.1147	2 1/4 - 8 UN 8
2 1/4	UN 12	12	2,1167	2.2500	57,1500	2.1959	2.1598	2 1/4 - 12 UN 12
2 1/4	UN 16	16	1,5875	2,2500	57,1500	2.2094	2.1823	2 1/4 - 16 UN 16
2 1/4	UN 20	20	1,2700	2.2500	57,1500	2.2175	2.1959	2 1/4 - 20 UN 20
